Date,Max Demand (Solar Hrs) (MW),Max Demand Time (Solar Hrs),Wind Contrib (MW),Solar Contrib (MW),VRE Contrib (MW),Max Demand (Non-Solar Hrs) (MW),Solar Contrib NonSolar (MW),VRE Contrib NonSolar (MW),Schedule MW,Actual MW,Deviation MW,Time1,Time2,MU_Schedule,MU_Actual,MU_Deviation,CUF %,Extra_1,Extra_2,Extra_3,Extra_4
2025-05-02,213636,15:55,10925,38245,49170,212566,9295,9295,4328,4194,1210,23,45,292,14,15,11.14,12.63,1.49,12.16,6030
2025-05-03,214714,14:56,10306,52221,62527,207814,16586,16586,5194,5059,1828,0,45,344,10,15,17.79,19.04,1.25,15.27,25495
2025-05-03,214714,14:56,10306,52221,62527,207814,16586,16586,4328,4194,1222,0,0,277,10,30,11.92,13.14,1.22,12.65,6030
2025-05-05,208328,14:55,8369,47403,55772,197277,13521,13521,5194,5059,1622,2,15,339,18,0,16.01,22.27,6.26,17.87,25495
2025-05-05,208328,14:55,8369,47403,55772,197277,13521,13521,4328,4194,905,2,15,236,15,15,9.55,16.9,7.35,16.27,6030
2025-05-06,201435,14:55,8147,43115,51262,202394,9840,9840,5194,5059,889,1,30,345,10,30,13.56,12.11,-1.45,9.71,25595
2025-05-06,201435,14:55,8147,43115,51262,202394,9840,9840,4328,4194,682,1,30,286,4,30,8.53,7.9,-0.63,7.61,6030
2025-05-07,200786,14:56,5851,48126,53977,202213,9508,9508,5194,5059,962,23,45,252,7,30,11.7,6.88,-4.82,5.52,25495
2025-05-08,205479,14:58,7289,47937,55226,208590,9388,9388,5194,5059,1513,21,45,276,14,0,15.65,19.59,3.94,15.72,25495
2025-05-08,205479,14:58,7289,47937,55226,208590,9388,9388,4328,4194,884,21,45,269,14,0,9.69,13.65,3.96,13.14,6030
2025-05-09,211925,14:55,3075,51267,54343,212517,7225,7225,5194,5059,1469,3,15,329,21,0,14.92,20.13,5.21,16.15,25495
2025-05-09,211925,14:55,3075,51267,54343,212517,7225,7225,4328,4194,1100,3,15,258,22,15,9.68,13.71,4.03,13.2,6030
2025-05-10,216414,14:57,4625,48366,52991,215112,8052,8052,5194,5059,598,6,30,248,11,15,11.41,5.77,-5.64,4.63,25495
2025-05-10,216414,14:57,4625,48366,52991,215112,8052,8052,4328,4194,415,4,15,248,10,15,7.39,4.08,-3.31,3.93,6030
2025-05-11,204596,14:57,6325,48380,54705,212447,8794,8794,5194,5059,1540,23,45,346,8,45,16.42,16.16,-0.26,12.96,25495
2025-05-11,204596,14:57,6325,48380,54705,212447,8794,8794,4328,4194,925,22,15,328,8,15,11.24,11.77,0.53,11.33,6030
2025-05-12,223579,15:00,8397,49318,57715,216376,11563,11563,5194,5059,1669,23,45,804,9,30,27.97,44.11,16.14,35.39,25495
2025-05-12,223579,15:00,8397,49318,57715,216376,11563,11563,4328,4194,1098,22,45,650,9,30,19.92,34.59,14.67,33.3,6030
2025-05-13,226127,14:59,9673,49893,59566,219552,13418,13418,5194,5059,1743,0,15,617,8,0,25.94,40.12,14.18,32.19,25495
2025-05-13,226127,14:59,9673,49893,59566,219552,13418,13418,4328,4194,1072,0,15,435,8,30,18.3,30.97,12.67,29.82,6030
2025-05-14,230007,15:00,7616,51110,58726,225108,7475,7475,5194,5059,1406,0,0,610,16,45,22.3,27.91,5.61,22.39,25495
2025-05-14,230007,15:00,7616,51110,58726,225108,7475,7475,4328,4194,946,11,0,496,16,45,15.31,20.93,5.62,20.15,6030
2025-05-15,230993,14:59,6818,51074,57892,223796,7656,7656,5194,5059,1804,23,30,634,18,0,23.41,28.77,5.36,23.08,25573
2025-05-15,230993,14:59,6818,51074,57892,223796,7656,7656,4328,4194,1115,23,45,552,16,45,15.91,21.57,5.66,20.77,6030
2025-05-16,228757,15:00,9532,50713,60245,224077,13197,13197,5194,5059,2019,23,45,1040,14,45,31.27,49.16,17.89,39.44,25573
2025-05-16,228757,15:00,9532,50713,60245,224077,13197,13197,4328,4194,1311,23,30,769,8,45,22.92,34.17,11.25,32.9,6030
2025-05-17,223508,14:53,8079,50457,58536,218979,13980,13980,5194,5059,2183,2,15,909,5,30,34.32,46.81,12.49,37.55,25573
2025-05-17,223508,14:53,8079,50457,58536,218979,13980,13980,4328,4194,1444,1,45,703,5,30,25.34,37.48,12.14,36.08,6030
2025-05-19,223072,15:00,7082,44609,51690,223891,7935,7935,5194,5059,2195,0,30,1259,14,15,37.79,61.23,23.44,49.12,25573
2025-05-19,223072,15:00,7082,44609,51690,223891,7935,7935,4328,4194,1456,0,30,777,20,0,28.56,50.07,21.51,48.2,6030
2025-05-20,226936,14:56,10605,48134,58739,222121,9611,9611,5194,5059,1837,3,30,625,17,15,28.22,36.81,8.59,29.53,26188
2025-05-20,226936,14:56,10605,48134,58739,222121,9611,9611,4328,4194,1247,3,30,425,15,45,19.11,27.27,8.16,26.25,6030
