Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,source_file,Date,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,"      CENTRAL ELECTRICITY AUTHORITY 
,HYDRO,,,,,,,,,,,,,,dgr16-2022-01-14.xls,2022-01-14,,,
, Hydro,46512.22,3405.95,,2748.05,2039.2,4830.5,9617.75,20.68,36894.47,27414.469999999998,27140.325299999997,73.56204141162618,58.350956587322635,dgr16-2022-01-14.xls,2022-01-14,,,
,Total  HYDRO,46512.22,3405.95,,2748.05,2039.2,4830.5,9617.75,20.677899270342287,36894.47,27414.469999999998,27140.325299999997,73.56204141162618,58.350956587322635,dgr16-2022-01-14.xls,2022-01-14,,,
,Total,288480.93799999997,21462.070000000003,6307,12647.150000000001,48605.634999999995,24126.179000000004,85378.964,29.596050467639568,203101.974,183659.26799999995,169428.82197999995,83.4205688123937,58.73137516628567,dgr16-2022-01-14.xls,2022-01-14,,,
,,,,,,,,,,,,,,,dgr16-2022-01-14.xls,2022-01-14,,,
,https://npp.gov.in   2022/01/17 17:18:19,,,,,,,,,,,,PAGE 1,,dgr16-2022-01-14.xls,2022-01-14,,,
,,"      CENTRAL ELECTRICITY AUTHORITY 
           G O & D WING 
           OPERATION PERFORMANCE MONITORING DIVISION",,,,,,,,,,,,Subreport 16,dgr16-2022-01-15.xls,2022-01-15,,,
,,,,,,,,,,,,,,,dgr16-2022-01-15.xls,2022-01-15,,,
,,Details Of Capacity (mw) Utilization For Power Generation  15-Jan-2022,,,,,,,,,,,,,dgr16-2022-01-15.xls,2022-01-15,,,
,Particulars,Monitored Capacity(MW) ( As on 15-Jan-2022),Capacity under long outage(MW),New Capacity under stabilization/Completion of balance works,Capacity (MW),,,,Capacity outage as percent of Monitered,Capacity on Line(MW),Sum of Max. Power generated (MW),,Max. Power output as % of,,dgr16-2022-01-15.xls,2022-01-15,,,
,,,,,PM,FO,Others,Total,,,Gross,Net,Capacity on line,Monitered,dgr16-2022-01-15.xls,2022-01-15,,,
,THERMAL,,,,,,,,,,,,,,dgr16-2022-01-15.xls,2022-01-15,,,
