State,Max Demand Met (MW),Shortage (MW),Energy Met (MU),Schedule (MU),OD/UD (MW),Max OD (MW),Energy Shortage (MU),Date
Punjab,8205,0,148.0,54.6,0.1,104,0.0,2022-01-01
Haryana,6702,0,118.4,71.8,-0.8,64,0.0,2022-01-01
Rajasthan,13008,0,249.0,69.5,2.4,236,0.34,2022-01-01
Delhi,3187,0,61.0,60.4,-1.3,168,0.0,2022-01-01
Uttarakhand,1805,0,31.2,22.8,0.2,142,0.15,2022-01-01
HP.,1482,0,30.3,19.1,-0.2,46,0.0,2022-01-01
J&K(UT) & Ladakh(UT),2604,0,52.9,46.8,-1.2,106,0.0,2022-01-01
Chandigarh,183,0,3.2,3.3,0.1,19,0.0,2022-01-01
Chhattisgarh,4752,0,105.8,56.2,-1.6,262,0.0,2022-01-01
Guiarat,16634,0,345.2,203.6,4.9,453,0.0,2022-01-01
MP,11114,0,215.5,103.3,-3.6,429,0.0,2022-01-01
Maharashtra,26746,0,550.6,175.7,-0.9,683,0.0,2022-01-01
Goa,686,0,13.0,13.5,-0.6,53,0.0,2022-01-01
DNHDDPDCL,1129,0,22.2,22.8,-0.6,41,0.0,2022-01-01
AMNSIL,818,0,17.6,8.6,0.0,261,0.0,2022-01-01
BALCO,519,0,12.4,12.4,0.0,514,0.0,2022-01-01
Andhra Pradesh,11514,0,223.8,86.5,0.1,598,0.0,2022-01-01
Telangana,14523,0,291.9,157.1,1.2,647,0.0,2022-01-01
Karnataka,15352,0,281.6,113.2,1.2,1059,0.0,2022-01-01
Kerala,4255,0,87.7,69.7,0.1,265,0.0,2022-01-01
Puducherry,408,0,8.7,8.8,-0.9,23,0.0,2022-01-01
Bihar,4551,225,85.6,73.0,0.9,276,0.48,2022-01-01
Jharkhand,1440,0,25.8,24.2,-3.2,87,1.34,2022-01-01
Odisha,5348,0,109.9,35.4,0.1,405,0.0,2022-01-01
Sikkim,99,0,1.5,1.3,0.3,61,0.0,2022-01-01
Arunachal Pradesh,145,0,2.4,2.4,0.1,41,0.0,2022-01-01
Assam,1604,0,26.8,21.2,0.2,109,0.0,2022-01-01
Manipur,191,0,2.6,2.7,0.1,41,0.0,2022-01-01
Meghalaya,365,0,6.3,5.2,0.0,49,0.0,2022-01-01
Mizoram,116,0,17.0,1.6,-0.2,14,0.0,2022-01-01
Nagaland,143,0,2.2,2.4,-0.2,27,0.0,2022-01-01
Tripura,240,0,4.0,3.7,0.1,55,0.0,2022-01-01
Punjab,7182,0,131.6,74.2,2.1,91,0.0,2022-01-02
Haryana,6988,0,127.4,72.9,0.4,206,0.0,2022-01-02
Rajasthan,15034,0,267.5,78.7,-1.5,360,0.0,2022-01-02
Delhi,4470,0,70.5,58.7,-0.6,206,0.0,2022-01-02
NR UP,17953,0,318.2,92.8,0.0,446,0.0,2022-01-02
Uttarakhand,2239,0,40.2,27.7,0.2,180,0.0,2022-01-02
HP,1907,0,35.3,28.6,-0.3,147,0.0,2022-01-02
J&K(UT) & Ladakh(UT),2881,300,60.4,56.4,-0.8,262,4.65,2022-01-02
Chandigarh,233,0,3.8,3.8,0.0,40,0.0,2022-01-02
Chhattisgarh,3540,0,76.1,23.7,-0.1,349,0.0,2022-01-02
Gujarat,16595,219,346.5,184.6,4.6,893,1.95,2022-01-02
MP.,14062,0,266.4,166.4,-1.0,561,0.0,2022-01-02
WR Maharashtra,22712,0,458.7,123.5,3.5,617,0.0,2022-01-02
Goa,576,0,11.9,11.1,0.3,44,0.0,2022-01-02
DD,274,0,6.0,6.0,0.0,16,0.0,2022-01-02
DNH,766,0,17.6,17.5,0.1,44,0.0,2022-01-02
AMNSIL,15500,0,15.5,8.7,-8.7,376,0.0,2022-01-02
Andhra Pradesh,9242,0,170.7,67.4,-0.1,440,0.0,2022-01-02
Telangana,11050,0,197.8,87.9,-0.2,581,0.0,2022-01-02
SR Karnataka,11404,0,201.0,52.6,-0.9,576,0.0,2022-01-02
Tamil Nadu,12620,0,253.9,137.5,-2.6,639,0.0,2022-01-02
Puducherry,318,0,6.5,71.0,-0.7,53,0.0,2022-01-02
Bihar,4487,0,82.8,74.9,-0.3,277,0.99,2022-01-02
Jharkhand,1429,228,27.4,22.4,-0.4,266,3.4,2022-01-02
ER Odisha,5391,0,99.7,63.8,0.8,390,0.0,2022-01-02
Sikkim,96,0,1.5,1.9,-0.3,22,0.0,2022-01-02
Arunachal Pradesh,133,0,2.4,2.7,-0.4,6,0.0,2022-01-02
Assam,1365,0,23.7,18.4,-0.9,72,0.0,2022-01-02
Manipur,222,0,3.3,3.4,-0.1,34,0.0,2022-01-02
Mizoram,112,0,1.9,1.4,-0.2,15,0.0,2022-01-02
Nagaland,130,0,2.3,2.1,0.1,17,0.0,2022-01-02
Tripura,211,0,3.4,3.8,-0.3,21,0.0,2022-01-02
Central Sector,8386,13218,5602.0,1300.0,664.0,29169,41.0,2022-01-02
State Sector,9455,17536,9916.0,4268.0,112.0,41286,59.0,2022-01-02
Total,17841,30753,15518.0,5568.0,7716.0,70456,100.0,2022-01-02
Coal,566,1196,494.0,537.0,10.0,2804,76.0,2022-01-02
Lignite,24,15,40.0,0.0,0.0,79,2.0,2022-01-02
Nuclear,32,33,70.0,0.0,0.0,135,4.0,2022-01-02
 Naptha & Diesel,15,11,10.0,0.0,26.0,62,2.0,2022-01-02
 Biomass & Others),97,103,172.0,4.0,0.0,377,10.0,2022-01-02
Total,839,1389,863.0,566.0,46.0,3703,100.0,2022-01-02
Punjab,6413,0,119.2,67.6,-1.1,96,0.0,2022-01-03
Haryana,6107,0,117.1,66.9,1.9,254,0.0,2022-01-03
Rajasthan,14483,0,258.1,67.3,-2.8,209,0.0,2022-01-03
Delhi,4034,0,66.3,55.0,-1.2,187,0.0,2022-01-03
NR UP,18101,0,297.8,87.5,0.3,421,0.0,2022-01-03
Uttarakhand,2136,0,38.2,26.2,-0.1,127,0.0,2022-01-03
HP,1772,0,32.3,25.8,-0.3,124,0.0,2022-01-03
J&K(UT) & Ladakh(UT),2865,250,60.3,54.9,0.5,159,4.65,2022-01-03
Chandigarh,210,0,3.4,3.7,-0.3,17,0.0,2022-01-03
Chhattisgarh,3556,0,76.0,28.1,-0.5,250,0.0,2022-01-03
Gujarat,16445,391,339.3,181.8,2.0,743,1.18,2022-01-03
MP,13798,0,264.1,166.9,-2.0,460,0.0,2022-01-03
WR Maharashtra,23321,0,467.6,127.5,-3.4,756,0.0,2022-01-03
Goa,547,0,11.5,10.3,0.6,31,0.0,2022-01-03
DD,274,0,6.0,6.0,0.0,81,0.0,2022-01-03
DNH,800,0,18.2,18.1,0.1,53,0.0,2022-01-03
AMNSIL,798,0,17.6,11.2,-0.4,255,0.0,2022-01-03
Andhra Pradesh,8910,0,169.7,69.1,-1.5,397,0.0,2022-01-03
Telangana,10432,0,194.1,84.3,-0.2,564,0.0,2022-01-03
SR Karnataka,10742,0,191.2,39.8,-1.1,679,0.0,2022-01-03
Kerala,3427,0,69.1,51.7,0.1,240,0.0,2022-01-03
Tamil Nadu,10730,0,228.5,125.3,-4.7,549,0.0,2022-01-03
Puducherry,304,0,6.2,7.0,-0.8,51,0.0,2022-01-03
Jharkhand,1524,0,28.3,24.0,-0.9,184,1.59,2022-01-03
ER Odisha,5330,0,106.9,65.3,-0.5,435,0.0,2022-01-03
Sikkim,92,0,1.4,1.8,-0.4,21,0.0,2022-01-03
Arunachal Pradesh,142,0,2.5,2.3,0.0,40,0.0,2022-01-03
Assam,1376,0,22.8,16.8,-0.3,88,0.0,2022-01-03
Manipur,229,0,3.4,3.5,0.0,46,0.0,2022-01-03
NER Meghalaya,353,0,6.8,6.2,-0.1,52,0.0,2022-01-03
Mizoram,115,0,1.9,1.4,-0.1,54,0.0,2022-01-03
Nagaland,134,0,2.4,2.1,0.2,18,0.0,2022-01-03
Tripura,209,0,3.4,3.6,-0.2,43,0.0,2022-01-03
Central Sector,8886,14443,6352.0,500.0,664.0,30844,43.0,2022-01-03
State Sector,9455,17996,9793.0,4268.0,112.0,41623,57.0,2022-01-03
Total,18341,32438,16145.0,4768.0,716.0,72468,100.0,2022-01-03
Coal,514,1162,466.0,536.0,8.0,2686,5.0,2022-01-03
Lignite,24,15,39.0,0.0,0.0,78,2.0,2022-01-03
Hydro,106,29,65.0,20.0,10.0,230,6.0,2022-01-03
Nuclear,33,25,70.0,0.0,0.0,127,4.0,2022-01-03
 Naptha & Diesel,15,10,9.0,0.0,26.0,60,2.0,2022-01-03
 Biomass & Others),108,94,188.0,5.0,0.0,395,11.0,2022-01-03
Total,800,1334,837.0,561.0,44.0,3576,100.0,2022-01-03
Punjab,6484,0,123.4,59.5,-0.2,196,0.4,2022-01-04
Haryana,6970,0,128.0,69.4,2.3,197,0.0,2022-01-04
Rajasthan,14689,0,262.5,67.9,-1.7,431,0.08,2022-01-04
Delhi,4467,0,71.8,60.0,-0.6,239,0.0,2022-01-04
NR UP,18832,0,310.9,87.1,0.1,428,0.0,2022-01-04
Uttarakhand,2235,0,40.9,28.4,1.3,195,0.0,2022-01-04
HP,1940,0,35.0,27.3,0.6,197,0.51,2022-01-04
J&K(UT) & Ladakh(UT),2944,250,61.4,56.6,-0.1,285,4.65,2022-01-04
Chandigarh,242,0,4.0,4.0,0.0,49,0.0,2022-01-04
Chhattisgarh,3557,0,78.5,30.3,1.0,258,0.0,2022-01-04
Gujarat,16955,156,358.1,195.0,7.0,834,11.68,2022-01-04
MP,14060,0,271.4,166.4,-0.3,598,0.0,2022-01-04
WR Maharashtra,24111,0,490.0,130.1,-4.2,599,0.0,2022-01-04
Goa,609,0,12.4,11.6,0.2,39,0.0,2022-01-04
DD,310,0,7.0,6.7,0.3,34,0.0,2022-01-04
DNH,843,0,19.2,19.0,0.2,47,0.0,2022-01-04
AMNSIL,863,0,18.0,8.6,-0.2,295,0.0,2022-01-04
Andhra Pradesh,9259,0,177.0,73.7,0.5,350,0.0,2022-01-04
Telangana,11125,0,201.0,81.9,-1.5,585,0.0,2022-01-04
SR Karnataka,11539,0,209.3,48.6,-1.0,1162,0.0,2022-01-04
Kerala,3806,0,76.3,53.7,-0.3,277,0.0,2022-01-04
Tamil Nadu,13130,0,264.7,149.8,2.9,939,0.0,2022-01-04
Puducherry,384,0,6.8,7.4,-0.5,24,0.0,2022-01-04
Bihar,4907,0,82.9,70.8,0.8,438,0.0,2022-01-04
Jharkhand,1533,0,27.4,22.5,-0.4,234,3.17,2022-01-04
ER Odisha,5551,0,103.2,54.0,0.2,751,0.0,2022-01-04
Sikkim,111,0,1.8,2.0,-0.2,18,0.0,2022-01-04
Arunachal Pradesh,141,0,2.4,2.4,0.1,40,0.0,2022-01-04
Assam,1462,0,24.6,18.9,0.3,120,0.0,2022-01-04
Manipur,231,0,3.5,3.5,0.0,42,0.0,2022-01-04
NER Meghalaya,398,0,7.3,6.3,0.0,45,0.0,2022-01-04
Mizoram,133,0,1.9,1.5,0.1,15,0.0,2022-01-04
Nagaland,140,0,2.4,2.1,0.2,20,0.0,2022-01-04
Tripura,218,0,3.6,4.0,-0.3,32,0.0,2022-01-04
Central Sector,8602,14543,6062.0,2425.0,664.0,32295,46.0,2022-01-04
State Sector,9330,15623,9583.0,3318.0,112.0,37966,54.0,2022-01-04
Total,17932,30166,15645.0,5743.0,7716.0,70261,100.0,2022-01-04
Coal,574,1227,515.0,540.0,9.0,2867,76.0,2022-01-04
Lignite,24,14,40.0,0.0,0.0,78,2.0,2022-01-04
Nuclear,33,20,70.0,0.0,0.0,123,3.0,2022-01-04
 Biomass & Others),103,79,179.0,5.0,0.0,367,10.0,2022-01-04
Total,854,1386,907.0,569.0,46.0,3761,100.0,2022-01-04
Punjab,6348,0,120.7,54.1,-0.4,163,2.45,2022-01-05
Haryana,6999,0,129.8,74.8,0.9,224,0.73,2022-01-05
Rajasthan,14861,0,267.2,75.6,1.4,620,0.97,2022-01-05
Delhi,4441,0,70.0,60.6,-2.0,333,0.0,2022-01-05
NR UP,18495,0,312.2,84.2,-1.5,468,0.0,2022-01-05
Uttarakhand,2349,0,42.9,30.8,1.0,207,0.06,2022-01-05
HP,1947,0,36.4,27.0,2.5,660,0.5,2022-01-05
J&K(UT) & Ladakh(UT),2905,250,59.0,53.8,0.7,389,4.65,2022-01-05
Chandigarh,247,0,4.2,4.1,0.1,59,0.0,2022-01-05
Chhattisgarh,3682,0,80.4,33.5,0.9,408,0.15,2022-01-05
Gujarat,16947,86,375.8,208.4,4.4,849,12.74,2022-01-05
MP,14284,0,273.7,177.5,-2.2,606,0.0,2022-01-05
WR Maharashtra,24563,0,500.1,131.5,4.3,693,0.0,2022-01-05
Goa,609,0,11.9,11.6,-0.3,39,0.0,2022-01-05
DNH,857,0,19.6,19.6,0.1,127,0.0,2022-01-05
AMNSIL,900,0,19.4,9.8,-0.3,284,0.0,2022-01-05
Andhra Pradesh,9235,0,177.5,71.2,0.2,436,0.0,2022-01-05
Telangana,11219,0,202.5,82.9,-0.1,513,0.0,2022-01-05
SR Karnataka,12048,0,214.9,56.0,-0.8,976,0.0,2022-01-05
Tamil Nadu,13707,0,275.8,151.2,-1.1,600,0.0,2022-01-05
Puducherry,361,0,73.0,7.6,-0.4,40,0.0,2022-01-05
Jharkhand,1477,0,27.3,21.6,0.3,295,4.16,2022-01-05
ER Odisha,5325,0,99.8,48.1,-0.6,437,0.0,2022-01-05
Sikkim,109,0,1.8,2.0,-0.3,20,0.0,2022-01-05
Arunachal Pradesh,144,0,2.3,2.8,-0.6,9,0.0,2022-01-05
Assam,1456,0,24.8,20.0,-0.1,98,0.0,2022-01-05
Manipur,247,0,3.6,3.5,0.1,29,0.0,2022-01-05
NER Meghalaya,388,0,74.0,5.9,0.0,45,0.0,2022-01-05
Mizoram,137,0,1.9,1.4,0.1,41,0.0,2022-01-05
Nagaland,139,0,2.4,2.1,0.2,15,0.0,2022-01-05
Tripura,218,0,3.5,3.7,-0.1,26,0.0,2022-01-05
Central Sector,8386,13843,6062.0,3025.0,634.0,31949,46.0,2022-01-05
State Sector,7575,16887,9963.0,3108.0,112.0,37645,54.0,2022-01-05
Total,15961,30730,16025.0,6133.0,746.0,69594,100.0,2022-01-05
Coal,596,1295,539.0,550.0,9.0,2990,78.0,2022-01-05
Lignite,25,14,40.0,0.0,0.0,79,2.0,2022-01-05
Hydro,107,34,86.0,22.0,10.0,260,7.0,2022-01-05
Nuclear,33,21,70.0,0.0,0.0,123,3.0,2022-01-05
 Naptha & Diesel,13,9,9.0,0.0,24.0,56,1.0,2022-01-05
 Biomass & Others),76,63,187.0,5.0,0.0,331,9.0,2022-01-05
Total,850,1437,931.0,577.0,44.0,3839,100.0,2022-01-05
Punjab,6282,0,114.3,51.4,-2.3,117,0.0,2022-01-06
Haryana,5853,0,118.2,65.4,-0.8,286,0.0,2022-01-06
Rajasthan,12990,0,215.9,44.2,-3.7,454,0.0,2022-01-06
Delhi,4322,0,73.4,60.4,-1.3,332,0.0,2022-01-06
NR UP,17231,0,313.9,81.6,-1.9,435,0.0,2022-01-06
Uttarakhand,2298,0,41.6,30.8,0.1,171,0.25,2022-01-06
HP,2027,0,36.6,28.7,0.7,550,0.02,2022-01-06
J&K(UT) & Ladakh(UT),2689,250,59.2,55.1,-0.7,126,4.65,2022-01-06
Chandigarh,252,0,4.2,4.2,0.0,54,0.0,2022-01-06
Chhattisgarh,3744,0,79.8,32.5,-0.4,262,0.0,2022-01-06
Gujarat,16319,0,354.4,209.0,3.4,723,0.0,2022-01-06
MP.,14306,0,272.4,174.8,-2.3,668,0.0,2022-01-06
WR Maharashtra,24974,0,505.5,139.1,-1.2,542,0.0,2022-01-06
Goa,599,0,13.0,11.7,0.8,29,0.0,2022-01-06
DD,327,0,7.3,7.0,0.3,31,0.0,2022-01-06
DNH,861,0,19.9,19.8,0.1,52,0.0,2022-01-06
AMNSIL,832,0,17.5,8.5,-0.2,275,0.0,2022-01-06
Andhra Pradesh,9360,0,179.3,76.1,-0.4,387,0.0,2022-01-06
Telangana,11240,0,202.9,81.7,-0.8,357,0.0,2022-01-06
SR Karnataka,11711,0,216.6,59.7,-0.2,906,0.0,2022-01-06
Tamil Nadu,14042,0,286.7,162.6,-0.9,318,0.0,2022-01-06
Puducherry,358,0,7.0,7.2,-0.3,34,0.0,2022-01-06
Bihar,5281,0,86.2,76.0,-0.5,312,0.85,2022-01-06
Jharkhand,1592,0,27.2,22.2,-0.6,393,2.18,2022-01-06
ER Odisha,5253,0,98.4,47.2,1.0,768,0.08,2022-01-06
Sikkim,124,0,2.0,1.9,0.1,70,0.0,2022-01-06
Arunachal Pradesh,137,0,2.3,2.4,-0.3,25,0.0,2022-01-06
Manipur,244,0,3.6,3.5,0.0,37,0.0,2022-01-06
NER Meghalaya,397,0,7.3,6.3,-0.2,59,0.0,2022-01-06
Mizoram,136,0,1.9,1.5,0.0,19,0.0,2022-01-06
Nagaland,144,0,2.4,2.1,0.3,21,0.0,2022-01-06
Tripura,230,0,3.5,3.8,-0.1,51,0.0,2022-01-06
Central Sector,8463,13803,6272.0,2695.0,634.0,31866,44.0,2022-01-06
State Sector,7950,17356,10743.0,4298.0,112.0,40459,56.0,2022-01-06
Total,16413,31159,17015.0,6993.0,746.0,72325,100.0,2022-01-06
Coal,603,1294,541.0,532.0,10.0,2980,79.0,2022-01-06
Lignite,24,12,35.0,0.0,0.0,71,2.0,2022-01-06
Hydro,107,31,95.0,22.0,10.0,264,7.0,2022-01-06
Nuclear,33,21,70.0,0.0,0.0,124,3.0,2022-01-06
 Naptha & Diesel,16,8,9.0,0.0,25.0,59,2.0,2022-01-06
 Biomass & Others),52,53,167.0,5.0,0.0,278,7.0,2022-01-06
Total,835,1420,917.0,559.0,44.0,3775,100.0,2022-01-06
Punjab,6500,0,113.9,40.0,-1.0,218,4.6,2022-01-07
Haryana,5690,567,113.7,63.8,2.1,441,1.44,2022-01-07
Rajasthan,11440,0,207.0,43.4,-0.4,459,0.0,2022-01-07
Delhi,4269,0,71.2,60.7,2.2,276,0.0,2022-01-07
NR UP,16705,0,280.9,66.4,-4.8,400,0.0,2022-01-07
Uttarakhand,2041,0,38.9,27.5,-0.1,120,0.0,2022-01-07
HP,1828,0,34.2,26.5,0.1,426,0.0,2022-01-07
J&K(UT) & Ladakh(UT),2828,250,58.7,51.8,1.9,488,4.65,2022-01-07
Chandigarh,241,0,3.9,4.2,-0.3,19,0.0,2022-01-07
Chhattisgarh,3823,0,83.6,31.3,0.1,257,0.0,2022-01-07
Gujarat,15649,0,337.6,205.9,-0.7,831,0.0,2022-01-07
MP.,12928,0,243.7,165.0,3.1,513,0.0,2022-01-07
WR Maharashtra,24964,0,508.3,139.2,-3.2,612,0.0,2022-01-07
Goa,576,20,12.4,11.7,0.6,78,0.02,2022-01-07
DD,319,0,7.2,6.9,0.3,56,0.0,2022-01-07
DNH,859,0,19.7,19.6,0.1,160,0.0,2022-01-07
AMNSIL,862,0,17.3,15.0,0.1,282,0.0,2022-01-07
Andhra Pradesh,9617,0,182.9,86.3,0.7,636,0.0,2022-01-07
Telangana,11371,0,205.8,80.1,0.1,521,0.0,2022-01-07
SR Karnataka,12455,0,219.8,55.5,0.5,746,0.0,2022-01-07
Kerala,3813,0,76.8,53.5,0.1,181,0.0,2022-01-07
Tamil Nadu,14127,0,291.7,165.6,0.6,683,0.0,2022-01-07
Puducherry,352,0,7.0,7.2,-0.2,43,0.0,2022-01-07
Bihar,5001,445,86.1,76.3,-0.3,421,0.59,2022-01-07
Jharkhand,1575,54,29.9,20.7,-0.1,258,2.98,2022-01-07
ER Odisha,5348,0,99.6,52.7,-0.7,366,0.0,2022-01-07
Sikkim,113,0,1.8,1.8,0.0,50,0.0,2022-01-07
Arunachal Pradesh,146,0,2.3,2.2,0.0,7,0.0,2022-01-07
NER Meghalaya,401,0,75.0,5.8,0.2,44,0.0,2022-01-07
Mizoram,144,0,1.9,1.6,-0.2,12,0.0,2022-01-07
Nagaland,147,0,2.4,2.1,0.3,23,0.0,2022-01-07
Tripura,229,0,3.6,3.4,-0.3,26,0.0,2022-01-07
Central Sector,8463,13803,7022.0,2750.0,659.0,32696,45.0,2022-01-07
State Sector,9270,16396,10683.0,4298.0,47.0,40693,55.0,2022-01-07
Total,17733,30199,17705.0,7048.0,705.0,73389,100.0,2022-01-07
Lignite,21,11,35.0,0.0,0.0,67,2.0,2022-01-07
Hydro,104,33,97.0,23.0,10.0,267,7.0,2022-01-07
 Naptha & Diesel,15,8,9.0,0.0,25.0,57,2.0,2022-01-07
 Biomass & Others),60,42,175.0,5.0,0.0,282,8.0,2022-01-07
Total,822,1367,901.0,563.0,45.0,3698,100.0,2022-01-07
Demand Met during Evening Peak hrs(MW) (at,2000,49849,53317.0,41795.0,20079.0,2654,167694.0,2022-01-07
Punjab,6291,75,117.1,51.0,-1.4,238,5.53,2022-01-08
Haryana,6053,0,119.3,65.9,1.8,332,0.0,2022-01-08
Rajasthan,11483,0,208.8,39.3,-1.0,413,0.0,2022-01-08
Delhi,4559,0,72.0,62.1,-2.8,293,0.0,2022-01-08
NR UP,17735,0,294.5,76.5,-1.5,271,0.0,2022-01-08
Uttarakhand,2204,0,41.1,29.0,1.0,212,0.07,2022-01-08
HP,2030,0,36.2,26.8,1.2,549,0.0,2022-01-08
J&K(UT) and Ladakh(UT),2728,250,54.1,52.9,3.9,184,4.65,2022-01-08
Chandigarh,252,0,41.0,4.2,-0.1,41,0.0,2022-01-08
Chhattisgarh,3889,0,83.5,27.7,0.1,217,0.0,2022-01-08
Gujarat,16447,0,336.6,196.2,-4.8,829,0.0,2022-01-08
MP,11245,0,218.8,135.6,-1.8,609,0.0,2022-01-08
WR Maharashtra,24454,0,501.1,135.7,-7.3,430,0.0,2022-01-08
Goa,595,0,12.3,11.9,0.3,32,0.01,2022-01-08
DD,326,0,7.3,6.9,0.4,50,0.0,2022-01-08
DNH,845,0,19.7,19.5,0.3,78,0.0,2022-01-08
AMNSIL,840,0,18.5,8.8,0.0,299,0.0,2022-01-08
Andhra Pradesh,9652,0,183.5,78.2,0.2,840,0.0,2022-01-08
Telangana,11840,0,211.9,87.4,-0.4,858,0.0,2022-01-08
SR Karnataka,12565,0,221.3,62.4,2.3,739,0.0,2022-01-08
Kerala,3855,0,71.9,54.6,-0.1,302,0.0,2022-01-08
Tamil Nadu,14176,0,297.0,175.6,2.3,873,0.0,2022-01-08
Puducherry,363,0,7.2,72.0,0.0,40,0.0,2022-01-08
Bihar,4887,0,87.4,76.6,0.1,252,0.0,2022-01-08
ER Jharkhand,1662,46,30.4,21.9,-1.0,150,1.58,2022-01-08
Odisha,5259,0,100.9,49.5,-0.6,452,0.0,2022-01-08
Sikkim,111,0,1.8,1.8,0.0,50,0.0,2022-01-08
Arunachal Pradesh,146,0,2.5,2.3,0.0,34,0.0,2022-01-08
Assam,1472,0,24.4,21.3,-0.8,123,0.0,2022-01-08
Manipur,247,0,3.5,3.6,-0.1,19,0.0,2022-01-08
NER Meghalaya,394,0,7.2,6.1,0.0,39,0.0,2022-01-08
Mizoram,141,0,2.0,1.5,0.0,30,0.0,2022-01-08
Nagaland,138,0,2.3,2.1,0.2,18,0.0,2022-01-08
Tripura,254,0,3.7,3.0,-0.2,83,0.0,2022-01-08
Punjab,5699,0,103.0,48.4,-4.0,220,0.85,2022-01-09
Haryana,5642,0,97.3,56.1,-4.4,245,0.0,2022-01-09
Rajasthan,10256,0,192.0,43.8,4.1,446,0.0,2022-01-09
Delhi,3345,0,58.0,48.5,-2.5,176,0.01,2022-01-09
NR UP,16921,0,274.2,73.6,-1.2,409,0.0,2022-01-09
Uttarakhand,2014,0,40.1,29.8,0.8,283,0.0,2022-01-09
HP,1758,0,33.6,27.6,-0.8,254,0.0,2022-01-09
J&K(UT) & Ladakh(UT),2373,300,38.8,34.1,0.3,469,4.65,2022-01-09
Chandigarh,225,0,3.7,3.9,-0.2,23,0.0,2022-01-09
Chhattisgarh,3823,0,83.7,28.3,-0.7,272,0.0,2022-01-09
Gujarat,16310,0,339.8,194.3,-3.6,782,0.0,2022-01-09
MP,10550,0,208.3,138.5,41.0,616,0.0,2022-01-09
WR Maharashtra,24416,0,493.9,144.0,-3.8,598,0.0,2022-01-09
Goa,578,0,12.1,11.5,0.3,68,0.0,2022-01-09
DD,314,0,7.2,6.8,0.4,37,0.0,2022-01-09
DNH,847,0,19.7,19.6,0.1,53,0.0,2022-01-09
AMNSIL,849,0,18.0,10.2,0.0,296,0.0,2022-01-09
Andhra Pradesh,9398,0,180.8,74.5,0.2,555,0.0,2022-01-09
Telangana,11585,0,210.1,95.2,1.2,880,0.0,2022-01-09
SR Karnataka,12759,0,225.5,68.5,1.6,991,0.0,2022-01-09
Kerala,3724,0,77.0,55.3,0.2,348,0.0,2022-01-09
Tamil Nadu,14606,0,298.4,174.4,2.7,798,0.0,2022-01-09
Puducherry,376,0,7.4,7.4,0.1,69,0.0,2022-01-09
Bihar,6144,0,83.7,75.0,-0.7,243,0.0,2022-01-09
Jharkhand,1654,0,30.5,21.8,-0.8,169,0.96,2022-01-09
ER Odisha,5187,0,88.5,35.5,-0.1,421,0.0,2022-01-09
West Bengal,6485,0,115.2,4.0,-0.7,458,0.0,2022-01-09
Sikkim,111,0,1.8,1.9,-0.1,37,0.0,2022-01-09
Arunachal Pradesh,142,0,2.4,2.4,0.1,18,0.0,2022-01-09
Assam,1467,0,24.6,21.5,-0.6,101,0.0,2022-01-09
Manipur,245,0,3.5,3.6,0.1,25,0.0,2022-01-09
NER Meghalaya,390,0,7.0,6.0,0.0,38,0.0,2022-01-09
Mizoram,131,0,1.9,1.6,0.1,19,0.0,2022-01-09
Nagaland,140,0,2.3,2.2,0.1,13,0.0,2022-01-09
Tripura,218,0,3.6,2.5,-0.3,40,0.0,2022-01-09
Central Sector,8153,13643,6022.0,700.0,659.0,29176,41.0,2022-01-09
State Sector,10185,17734,10173.0,3538.0,47.0,41676,59.0,2022-01-09
Total,18338,31376,16195.0,4238.0,705.0,70852,100.0,2022-01-09
Coal,519,1190,518.0,541.0,7.0,2775,78.0,2022-01-09
Lignite,18,11,38.0,0.0,0.0,66,2.0,2022-01-09
Hydro,107,23,93.0,22.0,10.0,255,7.0,2022-01-09
Nuclear,33,21,49.0,0.0,0.0,103,3.0,2022-01-09
 Naptha & Diesel,14,8,9.0,0.0,26.0,57,2.0,2022-01-09
 Biomass & Others),78,73,147.0,5.0,0.0,303,9.0,2022-01-09
Total,769,1326,853.0,567.0,43.0,3558,100.0,2022-01-09
Punjab,5723,150,109.6,48.3,-0.5,203,0.75,2022-01-10
Haryana,5124,0,98.4,53.7,-0.9,197,0.0,2022-01-10
Rajasthan,11408,0,203.9,57.3,-0.5,412,0.0,2022-01-10
Delhi,3760,0,59.9,49.2,-1.3,194,0.02,2022-01-10
NR UP,16276,0,273.7,79.6,5.5,163,0.0,2022-01-10
Uttarakhand,1904,0,36.2,25.9,0.2,228,0.0,2022-01-10
HP,1712,0,31.2,24.1,-0.5,267,0.06,2022-01-10
J&K(UT) & Ladakh(UT),2707,250,53.7,49.1,-1.0,104,4.65,2022-01-10
Chandigarh,209,0,3.6,3.8,-0.1,37,0.0,2022-01-10
Chhattisgarh,3818,0,82.2,27.2,-0.1,272,0.0,2022-01-10
Gujarat,15891,0,328.6,188.3,-0.8,495,0.0,2022-01-10
MP.,9454,0,187.5,117.1,-5.4,482,0.0,2022-01-10
WR Maharashtra,22839,0,461.7,133.7,5.5,598,0.0,2022-01-10
Goa,530,0,10.8,10.1,0.4,54,0.0,2022-01-10
DNH,814,0,18.9,19.0,-0.1,50,0.0,2022-01-10
AMNSIL,796,0,17.5,10.8,0.0,280,0.0,2022-01-10
Andhra Pradesh,9729,0,182.1,83.7,0.5,463,0.0,2022-01-10
