Source,NR,WR,SR,ER,NER,All India,% Share,Date
Coal,741.0,1386.0,567.0,580.0,15.0,3289.0,72,2022-05-03
Lignite,18.0,16.0,53.0,0.0,0.0,86.0,2,2022-05-03
Nuclear,24.0,33.0,46.0,0.0,0.0,103.0,2,2022-05-03
"Gas, Naptha & Diesel",26.0,18.0,8.0,0.0,29.0,82.0,2,2022-05-03
"RES (Wind, Solar, Biomass & Others)",159.0,149.0,307.0,5.0,1.0,621.0,14,2022-05-03
Total,1213.0,1636.0,1045.0,640.0,56.0,4591.0,100,2022-05-03
Total,11123.0,19411.0,12357.0,4630.0,472.0,47993.0,100,
Coal,748.0,1391.0,577.0,572.0,15.0,3305.0,72,2022-05-04
Lignite,18.0,16.0,51.0,0.0,0.0,85.0,2,2022-05-04
Hydro,260.0,44.0,57.0,56.0,14.0,430.0,9,2022-05-04
Nuclear,21.0,33.0,46.0,0.0,0.0,100.0,2,2022-05-04
"Gas, Naptha & Diesel",24.0,17.0,9.0,0.0,29.0,79.0,2,2022-05-04
"RES (Wind, Solar, Biomass & Others)",146.0,145.0,314.0,5.0,1.0,610.0,13,2022-05-04
Total,1218.0,1646.0,1053.0,633.0,59.0,4610.0,100,2022-05-04
Total,10788.0,19540.0,12273.0,5220.0,506.0,48327.0,100,
Coal,731.0,1365.0,566.0,560.0,12.0,3235.0,70,2022-05-05
Lignite,21.0,16.0,49.0,0.0,0.0,85.0,2,2022-05-05
Hydro,293.0,31.0,52.0,62.0,19.0,458.0,10,2022-05-05
Nuclear,21.0,33.0,46.0,0.0,0.0,100.0,2,2022-05-05
"Gas, Naptha & Diesel",22.0,20.0,9.0,0.0,29.0,80.0,2,2022-05-05
"RES (Wind, Solar, Biomass & Others)",159.0,201.0,313.0,4.0,1.0,678.0,15,2022-05-05
Total,11918.0,19923.0,12483.0,3560.0,1034.0,48918.0,100,2022-05-05
Coal,703.0,1341.0,582.0,575.0,12.0,3214.0,70,2022-05-06
Lignite,23.0,15.0,45.0,0.0,0.0,83.0,2,2022-05-06
Nuclear,24.0,33.0,46.0,0.0,0.0,103.0,2,2022-05-06
"Gas, Naptha & Diesel",23.0,16.0,9.0,0.0,24.0,71.0,2,2022-05-06
"RES (Wind, Solar, Biomass & Others)",162.0,215.0,265.0,5.0,0.0,647.0,14,2022-05-06
Total,1237.0,1659.0,1012.0,646.0,58.0,4612.0,100,2022-05-06
Total,10884.0,22806.0,12988.0,4000.0,983.0,51661.0,100,
Lignite,23.0,15.0,41.0,0.0,0.0,79.0,2,
Hydro,307.0,37.0,69.0,81.0,28.0,523.0,1,
Nuclear,24.0,33.0,46.0,0.0,0.0,103.0,2,
"RES (Wind, Solar, Biomass & Others)",168.0,215.0,287.0,5.0,0.0,675.0,15,
Total,1258.0,1633.0,1024.0,669.0,67.0,4651.0,100,
Total,11259.0,23406.0,12938.0,4300.0,598.0,52501.0,100,
Coal,705.0,1277.0,548.0,571.0,12.0,3113.0,69,2022-05-07
Lignite,22.0,13.0,39.0,0.0,0.0,75.0,2,2022-05-07
Hydro,308.0,35.0,61.0,70.0,23.0,496.0,1,2022-05-07
Nuclear,25.0,33.0,46.0,0.0,0.0,103.0,2,2022-05-07
"Gas, Naptha & Diesel",23.0,5.0,8.0,0.0,30.0,66.0,1,2022-05-07
"RES (Wind, Solar, Biomass & Others)",196.0,201.0,241.0,6.0,0.0,645.0,14,2022-05-07
Total,1278.0,1564.0,944.0,647.0,65.0,4499.0,100,2022-05-07
Total,12319.0,22839.0,14523.0,4000.0,598.0,54279.0,100,
Coal,721.0,1329.0,548.0,594.0,13.0,3206.0,70,2022-05-08
Lignite,25.0,14.0,57.0,0.0,0.0,95.0,2,2022-05-08
Hydro,307.0,45.0,70.0,87.0,27.0,536.0,12,2022-05-08
Nuclear,25.0,33.0,46.0,0.0,0.0,104.0,2,2022-05-08
"Gas, Naptha & Diesel",22.0,4.0,8.0,0.0,29.0,64.0,1,2022-05-08
"RES (Wind, Solar, Biomass & Others)",186.0,200.0,198.0,5.0,0.0,589.0,13,2022-05-08
Total,12201.0,22742.0,12363.0,4510.0,472.0,52288.0,100,2022-05-08
Coal,735.0,1363.0,582.0,595.0,16.0,3291.0,71,2022-05-09
Lignite,25.0,13.0,60.0,0.0,0.0,98.0,2,2022-05-09
Nuclear,25.0,33.0,46.0,0.0,0.0,103.0,2,2022-05-09
"Gas, Naptha & Diesel",25.0,6.0,9.0,0.0,29.0,69.0,1,2022-05-09
"RES (Wind, Solar, Biomass & Others)",153.0,199.0,187.0,6.0,0.0,545.0,12,2022-05-09
Total,1253.0,1666.0,961.0,690.0,78.0,4647.0,100,2022-05-09
Total,12710.0,22470.0,11753.0,5510.0,836.0,53278.0,100,
Coal,760.0,1397.0,619.0,585.0,16.0,3378.0,73,2022-05-10
Lignite,25.0,12.0,60.0,0.0,0.0,97.0,2,2022-05-10
Hydro,263.0,56.0,76.0,87.0,33.0,515.0,11,2022-05-10
Nuclear,25.0,33.0,46.0,0.0,0.0,103.0,2,2022-05-10
"Gas, Naptha & Diesel",24.0,15.0,8.0,0.0,28.0,76.0,2,2022-05-10
"RES (Wind, Solar, Biomass & Others)",135.0,145.0,131.0,5.0,1.0,417.0,10,2022-05-10
Total,1233.0,1658.0,940.0,678.0,78.0,4587.0,100,2022-05-10
Total,11868.0,23311.0,12143.0,5510.0,472.0,53304.0,100,
Coal,763.0,1396.0,604.0,563.0,18.0,3343.0,73,2022-05-11
Lignite,23.0,12.0,70.0,0.0,0.0,105.0,2,2022-05-11
Hydro,250.0,50.0,68.0,69.0,26.0,462.0,10,2022-05-11
Nuclear,25.0,31.0,46.0,0.0,0.0,102.0,2,2022-05-11
"Gas, Naptha & Diesel",26.0,17.0,8.0,0.0,29.0,80.0,2,2022-05-11
"RES (Wind, Solar, Biomass & Others)",147.0,144.0,213.0,5.0,0.0,510.0,11,2022-05-11
Total,1233.0,1650.0,1009.0,637.0,73.0,4602.0,100,2022-05-11
Total,10441.0,23839.0,12951.0,5770.0,322.0,53323.0,100,
Coal,736.0,1302.0,577.0,564.0,15.0,3195.0,69,2022-05-12
Hydro,255.0,27.0,64.0,66.0,30.0,443.0,10,2022-05-12
Nuclear,24.0,32.0,46.0,0.0,0.0,102.0,2,2022-05-12
"Gas, Naptha & Diesel",28.0,20.0,9.0,0.0,29.0,86.0,2,2022-05-12
Total,1245.0,1624.0,1029.0,636.0,75.0,4608.0,100,2022-05-12
Total,10751.0,25654.0,15851.0,5570.0,322.0,58148.0,100,
Lignite,20.0,10.0,53.0,0.0,0.0,83.0,2,
Hydro,248.0,25.0,65.0,71.0,35.0,444.0,10,
Nuclear,24.0,33.0,46.0,0.0,0.0,103.0,2,
"Gas, Naptha & Diesel",22.0,9.0,9.0,0.0,28.0,69.0,2,
"RES (Wind, Solar, Biomass & Others)",183.0,312.0,318.0,5.0,0.0,819.0,19,
Total,1143.0,1586.0,992.0,595.0,74.0,4390.0,100,
Total,13505.0,27699.0,17613.0,5160.0,372.0,64349.0,100,
Coal,608.0,1099.0,419.0,490.0,10.0,2626.0,63,2022-05-13
Lignite,18.0,10.0,50.0,0.0,0.0,78.0,2,2022-05-13
Hydro,229.0,22.0,61.0,73.0,34.0,421.0,10,2022-05-13
Nuclear,24.0,33.0,46.0,0.0,0.0,103.0,2,2022-05-13
"Gas, Naptha & Diesel",17.0,3.0,6.0,0.0,29.0,55.0,1,2022-05-13
"RES (Wind, Solar, Biomass & Others)",181.0,321.0,382.0,5.0,1.0,890.0,21,2022-05-13
Total,1078.0,1487.0,964.0,569.0,74.0,4172.0,100,2022-05-13
Total,17508.0,31124.0,15953.0,5010.0,736.0,70330.0,100,
Coal,511.0,1125.0,450.0,508.0,10.0,2604.0,64,2022-05-14
Lignite,17.0,13.0,52.0,0.0,0.0,81.0,2,2022-05-14
Hydro,213.0,31.0,78.0,71.0,34.0,427.0,10,2022-05-14
Nuclear,24.0,33.0,43.0,0.0,0.0,100.0,2,2022-05-14
"Gas, Naptha & Diesel",15.0,3.0,5.0,0.0,27.0,50.0,1,2022-05-14
"RES (Wind, Solar, Biomass & Others)",154.0,293.0,365.0,5.0,1.0,818.0,20,2022-05-14
Total,18702.0,30017.0,15018.0,4410.0,736.0,68882.0,100,2022-05-14
Coal,545.0,1193.0,534.0,556.0,12.0,2840.0,68,2022-05-15
Lignite,18.0,14.0,60.0,0.0,0.0,91.0,2,2022-05-15
Hydro,209.0,53.0,86.0,65.0,27.0,440.0,11,2022-05-15
Nuclear,25.0,33.0,40.0,0.0,0.0,97.0,2,2022-05-15
"Gas, Naptha & Diesel",15.0,3.0,6.0,0.0,23.0,47.0,1,2022-05-15
"RES (Wind, Solar, Biomass & Others)",131.0,216.0,304.0,5.0,1.0,657.0,16,2022-05-15
Total,942.0,1511.0,1029.0,626.0,63.0,4172.0,100,2022-05-15
Total,14964.0,27247.0,14518.0,4520.0,871.0,62119.0,100,
Coal,638.0,1274.0,603.0,594.0,17.0,3126.0,722,2022-05-16
Lignite,17.0,14.0,62.0,0.0,0.0,93.0,2,2022-05-16
Hydro,206.0,58.0,95.0,63.0,24.0,445.0,10,2022-05-16
Nuclear,23.0,33.0,40.0,0.0,0.0,96.0,2,2022-05-16
"Gas, Naptha & Diesel",16.0,5.0,7.0,0.0,24.0,52.0,1,2022-05-16
"RES (Wind, Solar, Biomass & Others)",141.0,157.0,245.0,6.0,0.0,548.0,13,2022-05-16
Total,1041.0,1540.0,1051.0,663.0,65.0,4360.0,100,2022-05-16
Total,13503.0,25281.0,14363.0,3920.0,736.0,57802.0,100,
Coal,673.0,1292.0,578.0,591.0,14.0,3148.0,70,2022-05-17
Lignite,16.0,12.0,63.0,0.0,0.0,91.0,2,2022-05-17
Hydro,191.0,39.0,74.0,65.0,24.0,394.0,9,2022-05-17
Nuclear,24.0,33.0,40.0,0.0,0.0,97.0,2,2022-05-17
"Gas, Naptha & Diesel",15.0,6.0,7.0,0.0,23.0,52.0,1,2022-05-17
"RES (Wind, Solar, Biomass & Others)",176.0,227.0,282.0,6.0,1.0,691.0,15,2022-05-17
Total,1096.0,1608.0,1044.0,662.0,62.0,4472.0,100,2022-05-17
Total,12848.0,27731.0,14473.0,4500.0,761.0,60312.0,100,
Coal,679.0,1267.0,538.0,576.0,13.0,3073.0,68,2022-05-18
Lignite,14.0,12.0,70.0,0.0,0.0,96.0,2,2022-05-18
Hydro,203.0,37.0,71.0,64.0,22.0,398.0,9,2022-05-18
Nuclear,24.0,33.0,40.0,0.0,0.0,97.0,2,2022-05-18
"Gas, Naptha & Diesel",20.0,6.0,8.0,0.0,22.0,56.0,1,2022-05-18
"RES (Wind, Solar, Biomass & Others)",192.0,283.0,333.0,5.0,1.0,815.0,18,2022-05-18
Total,1133.0,1637.0,1061.0,646.0,58.0,4534.0,100,2022-05-18
Total,13258.0,28571.0,15903.0,3500.0,794.0,62026.0,100,
Coal,678.0,1244.0,538.0,580.0,14.0,3054.0,67,2022-05-19
Lignite,19.0,11.0,69.0,0.0,0.0,99.0,2,2022-05-19
Hydro,230.0,49.0,89.0,58.0,23.0,449.0,10,2022-05-19
Nuclear,24.0,33.0,40.0,0.0,0.0,97.0,2,2022-05-19
"Gas, Naptha & Diesel",19.0,6.0,9.0,0.0,24.0,58.0,1,2022-05-19
"RES (Wind, Solar, Biomass & Others)",180.0,280.0,321.0,5.0,1.0,787.0,17,2022-05-19
Total,1150.0,1623.0,1066.0,643.0,61.0,4543.0,100,2022-05-19
Total,12508.0,28084.0,16983.0,3500.0,794.0,61868.0,100,
Coal,660.0,1222.0,503.0,567.0,14.0,2966.0,67,2022-05-20
Lignite,21.0,13.0,69.0,0.0,0.0,103.0,2,2022-05-20
Hydro,235.0,39.0,80.0,55.0,23.0,432.0,10,2022-05-20
Nuclear,24.0,33.0,40.0,0.0,0.0,97.0,2,2022-05-20
"Gas, Naptha & Diesel",18.0,3.0,9.0,0.0,24.0,54.0,1,2022-05-20
"RES (Wind, Solar, Biomass & Others)",187.0,272.0,316.0,5.0,1.0,781.0,18,2022-05-20
Total,1146.0,1581.0,1017.0,628.0,61.0,4433.0,100,2022-05-20
Total,11978.0,25189.0,12678.0,3350.0,761.0,53954.0,100,
Coal,718.0,1290.0,570.0,601.0,16.0,3195.0,69,2022-05-21
Lignite,20.0,12.0,70.0,0.0,0.0,102.0,2,2022-05-21
Hydro,242.0,51.0,82.0,58.0,20.0,452.0,10,2022-05-21
Nuclear,24.0,33.0,44.0,0.0,0.0,100.0,2,2022-05-21
"Gas, Naptha & Diesel",17.0,3.0,8.0,0.0,25.0,53.0,1,2022-05-21
"RES (Wind, Solar, Biomass & Others)",173.0,249.0,308.0,5.0,1.0,736.0,16,2022-05-21
Total,1194.0,1638.0,1082.0,664.0,61.0,4639.0,100,2022-05-21
Total,12398.0,24249.0,13559.0,3870.0,769.0,54844.0,100,
Coal,722.0,1328.0,598.0,611.0,15.0,3273.0,69,2022-05-22
Lignite,22.0,15.0,2.0,0.0,0.0,109.0,2,2022-05-22
Hydro,249.0,57.0,75.0,70.0,23.0,473.0,10,2022-05-22
Nuclear,24.0,33.0,55.0,0.0,0.0,112.0,2,2022-05-22
"Gas, Naptha & Diesel",22.0,4.0,9.0,0.0,24.0,59.0,1,2022-05-22
"RES (Wind, Solar, Biomass & Others)",165.0,217.0,311.0,5.0,0.0,698.0,15,2022-05-22
Total,1204.0,1653.0,1119.0,686.0,61.0,4723.0,100,2022-05-22
Total,12453.0,24994.0,12539.0,3870.0,769.0,54624.0,100,
Coal,719.0,1333.0,587.0,604.0,15.0,3258.0,69,2022-05-23
Nuclear,24.0,33.0,57.0,0.0,0.0,114.0,2,2022-05-23
"Gas, Naptha & Diesel",23.0,3.0,8.0,0.0,24.0,58.0,1,2022-05-23
"RES (Wind, Solar, Biomass & Others)",153.0,205.0,333.0,5.0,0.0,695.0,15,2022-05-23
Total,1195.0,1620.0,1129.0,682.0,63.0,4689.0,100,2022-05-23
Total,11886.0,24094.0,13409.0,5680.0,769.0,55837.0,100,
Coal,744.0,1365.0,581.0,607.0,16.0,3314.0,70,2022-05-24
Lignite,25.0,15.0,75.0,0.0,0.0,115.0,2,2022-05-24
Hydro,252.0,25.0,74.0,76.0,22.0,450.0,9,2022-05-24
Nuclear,24.0,33.0,62.0,0.0,0.0,119.0,2,2022-05-24
"Gas, Naptha & Diesel",22.0,6.0,8.0,0.0,23.0,59.0,1,2022-05-24
"RES (Wind, Solar, Biomass & Others)",141.0,219.0,338.0,5.0,0.0,704.0,15,2022-05-24
Total,1209.0,1662.0,1139.0,688.0,62.0,4761.0,100,2022-05-24
Total,11932.0,23751.0,14549.0,5490.0,824.0,56545.0,100,
Coal,759.0,1342.0,589.0,590.0,16.0,3296.0,69,2022-05-25
Hydro,255.0,41.0,81.0,84.0,26.0,487.0,10,2022-05-25
"Gas, Naptha & Diesel",26.0,7.0,9.0,0.0,23.0,64.0,1,2022-05-25
"RES (Wind, Solar, Biomass & Others)",151.0,240.0,306.0,5.0,0.0,703.0,15,2022-05-25
Total,1238.0,1677.0,1123.0,679.0,65.0,4782.0,100,2022-05-25
Total,12393.0,23854.0,13749.0,5650.0,757.0,56402.0,100,
Coal,761.0,1381.0,583.0,590.0,17.0,3332.0,70,2022-05-26
Lignite,21.0,16.0,69.0,0.0,0.0,106.0,2,2022-05-26
Hydro,251.0,39.0,89.0,85.0,29.0,493.0,10,2022-05-26
Nuclear,21.0,33.0,63.0,0.0,0.0,116.0,2,2022-05-26
"Gas, Naptha & Diesel",23.0,1.0,8.0,0.0,22.0,61.0,1,2022-05-26
"RES (Wind, Solar, Biomass & Others)",168.0,214.0,280.0,5.0,1.0,667.0,14,2022-05-26
Total,1245.0,1690.0,1093.0,680.0,68.0,4775.0,100,2022-05-26
Total,13242.0,23864.0,13859.0,5260.0,787.0,57011.0,100,
Coal,724.0,1351.0,574.0,565.0,16.0,3230.0,69,2022-05-27
Lignite,17.0,14.0,58.0,0.0,0.0,89.0,2,2022-05-27
Hydro,267.0,38.0,69.0,80.0,29.0,483.0,10,2022-05-27
Nuclear,20.0,25.0,63.0,0.0,0.0,108.0,2,2022-05-27
"Gas, Naptha & Diesel",21.0,3.0,8.0,0.0,23.0,56.0,1,2022-05-27
"RES (Wind, Solar, Biomass & Others)",164.0,198.0,326.0,5.0,0.0,694.0,15,2022-05-27
Total,1214.0,1628.0,1100.0,650.0,68.0,4660.0,100,2022-05-27
Total,11327.0,22593.0,13188.0,3190.0,829.0,51126.0,100,
Coal,751.0,1384.0,597.0,606.0,17.0,3355.0,71,2022-05-28
Lignite,17.0,11.0,45.0,0.0,0.0,2.0,2,2022-05-28
Nuclear,12.0,23.0,66.0,0.0,0.0,102.0,2,2022-05-28
"Gas, Naptha & Diesel",26.0,10.0,8.0,0.0,23.0,68.0,1,2022-05-28
"RES (Wind, Solar, Biomass & Others)",173.0,198.0,224.0,6.0,0.0,601.0,13,2022-05-28
Total,1257.0,1659.0,1017.0,702.0,65.0,4699.0,100,2022-05-28
Total,11076.0,21734.0,12938.0,3250.0,1192.0,50189.0,100,
Coal,755.0,1364.0,592.0,613.0,16.0,3339.0,69,2022-05-29
Lignite,17.0,10.0,51.0,0.0,0.0,78.0,2,2022-05-29
Hydro,301.0,27.0,68.0,90.0,26.0,512.0,11,2022-05-29
Nuclear,13.0,23.0,67.0,0.0,0.0,104.0,2,2022-05-29
"Gas, Naptha & Diesel",28.0,30.0,8.0,0.0,19.0,86.0,2,2022-05-29
"RES (Wind, Solar, Biomass & Others)",193.0,206.0,302.0,5.0,1.0,706.0,15,2022-05-29
Total,1307.0,1659.0,1088.0,708.0,62.0,4824.0,100,2022-05-29
Total,11488.0,20119.0,13211.0,3170.0,824.0,48811.0,100,
Coal,751.0,1342.0,568.0,603.0,15.0,3279.0,67,2022-05-30
Lignite,21.0,10.0,51.0,0.0,0.0,81.0,2,2022-05-30
Hydro,309.0,29.0,62.0,102.0,27.0,529.0,11,2022-05-30
Nuclear,14.0,32.0,67.0,0.0,0.0,114.0,2,2022-05-30
"Gas, Naptha & Diesel",35.0,36.0,8.0,0.0,19.0,98.0,2,2022-05-30
"RES (Wind, Solar, Biomass & Others)",194.0,225.0,347.0,5.0,0.0,7.0,16,2022-05-30
Total,1324.0,1674.0,1104.0,709.0,61.0,4871.0,100,2022-05-30
Total,11636.0,20322.0,14083.0,4640.0,799.0,51479.0,100,
Coal,733.0,1334.0,559.0,594.0,15.0,3235.0,67,2022-05-31
Lignite,26.0,10.0,52.0,0.0,0.0,88.0,2,2022-05-31
Hydro,311.0,31.0,70.0,112.0,30.0,554.0,11,2022-05-31
Nuclear,14.0,34.0,67.0,0.0,0.0,115.0,2,2022-05-31
"Gas, Naptha & Diesel",35.0,36.0,9.0,0.0,22.0,102.0,2,2022-05-31
"RES (Wind, Solar, Biomass & Others)",204.0,213.0,343.0,5.0,0.0,766.0,16,2022-05-31
Total,1322.0,1658.0,1101.0,711.0,68.0,4861.0,100,2022-05-31
Total,11168.0,20382.0,13148.0,5090.0,829.0,50616.0,100,
Coal,733.0,1383.0,578.0,590.0,14.0,3298.0,68,2022-06-01
Lignite,31.0,13.0,54.0,0.0,0.0,98.0,2,2022-06-01
Nuclear,13.0,34.0,67.0,0.0,0.0,115.0,2,2022-06-01
"Gas, Naptha & Diesel",35.0,36.0,10.0,0.0,23.0,103.0,2,2022-06-01
"RES (Wind, Solar, Biomass & Others)",193.0,172.0,344.0,6.0,0.0,716.0,15,2022-06-01
Total,1306.0,1663.0,1119.0,709.0,69.0,4866.0,100,2022-06-01
Total,12142.0,22981.0,14188.0,3580.0,779.0,53669.0,100,
Coal,728.0,1315.0,550.0,581.0,14.0,3188.0,70,2022-06-02
Lignite,28.0,14.0,61.0,0.0,0.0,102.0,2,2022-06-02
Nuclear,13.0,33.0,67.0,0.0,0.0,114.0,2,2022-06-02
"Gas, Naptha & Diesel",20.0,6.0,10.0,0.0,23.0,60.0,1,2022-06-02
"RES (Wind, Solar, Biomass & Others)",174.0,114.0,311.0,6.0,0.0,605.0,13,2022-06-02
Total,1257.0,1507.0,1059.0,689.0,73.0,4585.0,100,2022-06-02
Total,11861.0,20782.0,13268.0,4240.0,749.0,50900.0,100,
Coal,760.0,1432.0,583.0,595.0,18.0,3387.0,72,2022-06-03
Lignite,31.0,14.0,64.0,0.0,0.0,109.0,2,2022-06-03
Nuclear,15.0,33.0,67.0,0.0,0.0,116.0,2,2022-06-03
"Gas, Naptha & Diesel",30.0,10.0,10.0,0.0,23.0,73.0,2,2022-06-03
"RES (Wind, Solar, Biomass & Others)",132.0,92.0,274.0,6.0,0.0,503.0,11,2022-06-03
Total,1271.0,1609.0,1064.0,697.0,76.0,4717.0,100,2022-06-03
Total,11341.0,20181.0,13628.0,4340.0,749.0,50239.0,100,
Coal,753.0,1457.0,602.0,604.0,18.0,3434.0,72,2022-06-04
Lignite,28.0,14.0,66.0,0.0,0.0,108.0,2,2022-06-04
Hydro,308.0,30.0,60.0,97.0,31.0,526.0,11,2022-06-04
Nuclear,17.0,33.0,67.0,0.0,0.0,118.0,2,2022-06-04
"Gas, Naptha & Diesel",42.0,28.0,9.0,0.0,23.0,103.0,2,2022-06-04
"RES (Wind, Solar, Biomass & Others)",124.0,110.0,271.0,6.0,0.0,511.0,11,2022-06-04
Total,1273.0,1672.0,1075.0,706.0,722.0,4799.0,100,2022-06-04
Total,11029.0,22448.0,13578.0,4600.0,812.0,52466.0,100,
Coal,758.0,1414.0,559.0,588.0,16.0,3334.0,70,2022-06-05
Lignite,25.0,14.0,63.0,0.0,0.0,102.0,2,2022-06-05
Hydro,328.0,29.0,59.0,108.0,34.0,559.0,12,2022-06-05
Nuclear,19.0,33.0,67.0,0.0,0.0,119.0,3,2022-06-05
"Gas, Naptha & Diesel",37.0,25.0,9.0,0.0,23.0,94.0,2,2022-06-05
"RES (Wind, Solar, Biomass & Others)",178.0,159.0,214.0,6.0,0.0,556.0,12,2022-06-05
Total,1345.0,1674.0,970.0,701.0,74.0,4765.0,100,2022-06-05
Total,11990.0,24052.0,13658.0,4900.0,962.0,55561.0,100,
Coal,718.0,1347.0,549.0,595.0,14.0,3223.0,69,2022-06-06
Lignite,22.0,15.0,64.0,0.0,0.0,101.0,2,2022-06-06
Hydro,328.0,34.0,45.0,104.0,34.0,544.0,12,2022-06-06
Nuclear,19.0,33.0,67.0,0.0,0.0,119.0,3,2022-06-06
"Gas, Naptha & Diesel",36.0,22.0,9.0,0.0,23.0,91.0,2,2022-06-06
"RES (Wind, Solar, Biomass & Others)",196.0,179.0,219.0,4.0,0.0,598.0,13,2022-06-06
Total,1319.0,1629.0,954.0,703.0,71.0,4676.0,100,2022-06-06
Total,11066.0,25070.0,14538.0,4080.0,953.0,55706.0,100,
Coal,689.0,1308.0,543.0,598.0,16.0,3154.0,71,2022-06-07
Lignite,22.0,15.0,61.0,0.0,0.0,98.0,2,2022-06-07
Nuclear,19.0,33.0,67.0,0.0,0.0,119.0,3,2022-06-07
"Gas, Naptha & Diesel",31.0,8.0,10.0,0.0,23.0,71.0,2,2022-06-07
"RES (Wind, Solar, Biomass & Others)",199.0,159.0,184.0,5.0,0.0,546.0,12,2022-06-07
Total,1258.0,1556.0,913.0,699.0,74.0,4501.0,100,2022-06-07
Total,11340.0,25720.0,15328.0,4030.0,932.0,57349.0,100,
Coal,697.0,1274.0,522.0,598.0,17.0,3108.0,73,2022-06-08
Lignite,26.0,15.0,61.0,0.0,0.0,101.0,2,2022-06-08
Hydro,275.0,31.0,44.0,102.0,35.0,488.0,11,2022-06-08
Nuclear,20.0,33.0,67.0,0.0,0.0,120.0,3,2022-06-08
"Gas, Naptha & Diesel",21.0,4.0,10.0,0.0,23.0,57.0,1,2022-06-08
"RES (Wind, Solar, Biomass & Others)",142.0,156.0,194.0,4.0,0.0,497.0,10,2022-06-08
Total,1180.0,1513.0,897.0,705.0,75.0,4370.0,100,2022-06-08
Total,10238.0,29204.0,15798.0,5230.0,982.0,61451.0,100,
Coal,684.0,1127.0,486.0,562.0,12.0,2871.0,68,2022-06-09
Lignite,28.0,14.0,62.0,0.0,0.0,105.0,2,2022-06-09
Hydro,253.0,27.0,41.0,109.0,35.0,465.0,11,2022-06-09
Nuclear,20.0,33.0,63.0,0.0,0.0,115.0,3,2022-06-09
"Gas, Naptha & Diesel",17.0,4.0,9.0,0.0,23.0,52.0,1,2022-06-09
"RES (Wind, Solar, Biomass & Others)",151.0,234.0,285.0,5.0,1.0,676.0,15,2022-06-09
Total,11493.0,29369.0,16633.0,5540.0,982.0,64016.0,100,2022-06-09
Coal,686.0,1154.0,467.0,549.0,14.0,2870.0,67,2022-06-10
Lignite,28.0,15.0,61.0,0.0,0.0,103.0,2,2022-06-10
Hydro,247.0,32.0,45.0,120.0,36.0,480.0,1,2022-06-10
Nuclear,20.0,33.0,62.0,0.0,0.0,115.0,3,2022-06-10
"Gas, Naptha & Diesel",21.0,3.0,9.0,0.0,23.0,56.0,1,2022-06-10
"RES (Wind, Solar, Biomass & Others)",119.0,220.0,315.0,5.0,1.0,660.0,15,2022-06-10
Total,1120.0,1457.0,959.0,675.0,73.0,4284.0,100,2022-06-10
Total,10228.0,28154.0,15923.0,4620.0,982.0,59907.0,100,
Coal,757.0,1217.0,501.0,595.0,17.0,3088.0,71,2022-06-11
Lignite,30.0,15.0,62.0,0.0,0.0,107.0,2,2022-06-11
Hydro,224.0,36.0,55.0,121.0,33.0,469.0,1,2022-06-11
Nuclear,21.0,33.0,62.0,0.0,0.0,116.0,3,2022-06-11
"Gas, Naptha & Diesel",21.0,3.0,8.0,0.0,24.0,56.0,1,2022-06-11
"RES (Wind, Solar, Biomass & Others)",130.0,104.0,287.0,5.0,2.0,528.0,12,2022-06-11
Total,1183.0,1409.0,974.0,721.0,71.0,4363.0,100,2022-06-11
Total,10237.0,27320.0,15603.0,4055.0,982.0,58198.0,100,
Coal,804.0,1261.0,530.0,606.0,18.0,3219.0,71,2022-06-12
Lignite,31.0,16.0,66.0,0.0,0.0,113.0,3,2022-06-12
Hydro,233.0,32.0,52.0,116.0,31.0,464.0,10,2022-06-12
Nuclear,24.0,33.0,63.0,0.0,0.0,119.0,3,2022-06-12
"Gas, Naptha & Diesel",21.0,4.0,8.0,0.0,24.0,57.0,1,2022-06-12
"RES (Wind, Solar, Biomass & Others)",138.0,101.0,290.0,6.0,2.0,537.0,12,2022-06-12
Total,1252.0,1446.0,1010.0,728.0,75.0,4511.0,100,2022-06-12
Total,9789.0,28197.0,16475.0,4165.0,982.0,59607.0,100,
Coal,801.0,1259.0,512.0,612.0,17.0,3200.0,70,2022-06-13
Lignite,31.0,15.0,68.0,0.0,0.0,114.0,2,2022-06-13
Hydro,240.0,29.0,51.0,114.0,32.0,466.0,10,2022-06-13
Nuclear,24.0,33.0,63.0,0.0,0.0,120.0,3,2022-06-13
"Gas, Naptha & Diesel",23.0,6.0,10.0,0.0,24.0,62.0,1,2022-06-13
"RES (Wind, Solar, Biomass & Others)",128.0,118.0,359.0,4.0,0.0,609.0,13,2022-06-13
Total,1246.0,1459.0,1063.0,730.0,73.0,4571.0,100,2022-06-13
Total,9362.0,29039.0,17465.0,3625.0,982.0,60473.0,100,
Coal,810.0,1244.0,499.0,590.0,17.0,3160.0,69,2022-06-14
Lignite,28.0,13.0,66.0,0.0,0.0,108.0,2,2022-06-14
Hydro,258.0,30.0,48.0,113.0,31.0,481.0,11,2022-06-14
Nuclear,24.0,33.0,67.0,0.0,0.0,124.0,3,2022-06-14
"Gas, Naptha & Diesel",23.0,5.0,10.0,0.0,25.0,63.0,1,2022-06-14
"RES (Wind, Solar, Biomass & Others)",134.0,145.0,341.0,4.0,1.0,626.0,14,2022-06-14
