Source,NR,WR,SR,ER,NER,All India,% Share,Date
Nuclear,28.0,21.0,68.0,0.0,0.0,118.0,3,2022-01-10
"Gas, Naptha & Diesel",16.0,8.0,9.0,0.0,28.0,61.0,2,2022-01-10
"RES (Wind, Solar, Biomass & Others)",96.0,137.0,150.0,4.0,0.0,387.0,1,2022-01-10
Total,816.0,1384.0,853.0,559.0,46.0,3659.0,100,2022-01-10
Total,18594.0,31111.0,16668.0,5518.0,770.0,72661.0,100,
Coal,557.0,1183.0,512.0,533.0,8.0,2794.0,76,2022-01-11
Lignite,25.0,14.0,32.0,0.0,0.0,72.0,2,2022-01-11
Hydro,98.0,29.0,95.0,23.0,9.0,255.0,7,2022-01-11
Nuclear,28.0,21.0,69.0,0.0,0.0,119.0,3,2022-01-11
"Gas, Naptha & Diesel",15.0,8.0,9.0,0.0,28.0,61.0,2,2022-01-11
"RES (Wind, Solar, Biomass & Others)",99.0,127.0,135.0,4.0,0.0,365.0,10,2022-01-11
Total,822.0,1383.0,853.0,561.0,46.0,3665.0,100,2022-01-11
Total,19311.0,32703.0,15648.0,5108.0,745.0,73514.0,100,
Coal,539.0,1186.0,511.0,550.0,8.0,2794.0,76,2022-01-12
Lignite,21.0,14.0,34.0,0.0,0.0,69.0,2,2022-01-12
Hydro,99.0,31.0,82.0,24.0,10.0,246.0,7,2022-01-12
Nuclear,28.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-12
"Gas, Naptha & Diesel",15.0,9.0,9.0,0.0,27.0,60.0,2,2022-01-12
"RES (Wind, Solar, Biomass & Others)",103.0,125.0,152.0,4.0,0.0,384.0,10,2022-01-12
Total,805.0,1387.0,857.0,578.0,46.0,3673.0,100,2022-01-12
Total,18924.0,34333.0,16948.0,3998.0,595.0,74798.0,100,
Coal,539.0,1082.0,475.0,542.0,7.0,2645.0,75,2022-01-13
Lignite,21.0,14.0,33.0,0.0,0.0,67.0,2,2022-01-13
Hydro,95.0,29.0,7.0,21.0,10.0,234.0,7,2022-01-13
Nuclear,28.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-13
"RES (Wind, Solar, Biomass & Others)",111.0,147.0,139.0,4.0,0.0,402.0,1,2022-01-13
Total,809.0,1303.0,805.0,567.0,45.0,3530.0,100,2022-01-13
Total,18009.0,34338.0,16798.0,5798.0,595.0,75538.0,100,
Coal,527.0,1099.0,455.0,522.0,7.0,2610.0,75,2022-01-14
Lignite,20.0,16.0,38.0,0.0,0.0,73.0,2,2022-01-14
Hydro,99.0,26.0,71.0,22.0,9.0,227.0,7,2022-01-14
Nuclear,29.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-14
"Gas, Naptha & Diesel",15.0,10.0,9.0,0.0,28.0,62.0,2,2022-01-14
"RES (Wind, Solar, Biomass & Others)",110.0,123.0,166.0,5.0,0.0,403.0,12,2022-01-14
Total,799.0,1295.0,808.0,549.0,45.0,3495.0,100,2022-01-14
Total,17509.0,32323.0,16798.0,6203.0,595.0,73428.0,100,
Coal,572.0,1189.0,492.0,545.0,10.0,2808.0,76,2022-01-15
Lignite,18.0,14.0,44.0,0.0,0.0,76.0,2,2022-01-15
Hydro,95.0,33.0,87.0,25.0,9.0,249.0,7,2022-01-15
Nuclear,29.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-15
"RES (Wind, Solar, Biomass & Others)",105.0,98.0,193.0,5.0,0.0,400.0,1,2022-01-15
Total,18271.0,32608.0,16095.0,5108.0,595.0,72676.0,100,2022-01-15
Coal,598.0,1225.0,520.0,567.0,9.0,2919.0,7,2022-01-16
Lignite,18.0,13.0,44.0,0.0,0.0,75.0,2,2022-01-16
Hydro,96.0,39.0,94.0,28.0,9.0,266.0,7,2022-01-16
Nuclear,29.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-16
"Gas, Naptha & Diesel",15.0,1.0,9.0,0.0,27.0,62.0,2,2022-01-16
"RES (Wind, Solar, Biomass & Others)",105.0,81.0,179.0,5.0,0.0,370.0,10,2022-01-16
Total,860.0,1391.0,916.0,600.0,46.0,3812.0,100,2022-01-16
Total,18026.0,31818.0,17015.0,6528.0,650.0,74036.0,100,
Coal,626.0,1245.0,538.0,566.0,10.0,2984.0,7,2022-01-17
Lignite,17.0,12.0,46.0,0.0,0.0,75.0,2,2022-01-17
Hydro,93.0,39.0,98.0,28.0,10.0,268.0,7,2022-01-17
Nuclear,28.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-17
"Gas, Naptha & Diesel",15.0,11.0,9.0,0.0,28.0,62.0,2,2022-01-17
"RES (Wind, Solar, Biomass & Others)",99.0,85.0,161.0,5.0,0.0,351.0,9,2022-01-17
Total,878.0,1412.0,921.0,599.0,47.0,3858.0,100,2022-01-17
Total,15906.0,31528.0,16155.0,4864.0,650.0,69102.0,100,
Coal,614.0,1261.0,523.0,578.0,9.0,2984.0,7,2022-01-18
Lignite,19.0,12.0,50.0,0.0,0.0,81.0,2,2022-01-18
Hydro,94.0,33.0,102.0,22.0,10.0,261.0,7,2022-01-18
Nuclear,28.0,21.0,67.0,0.0,0.0,117.0,3,2022-01-18
"Gas, Naptha & Diesel",15.0,10.0,8.0,0.0,27.0,60.0,2,2022-01-18
"RES (Wind, Solar, Biomass & Others)",101.0,130.0,149.0,5.0,0.0,385.0,10,2022-01-18
Total,871.0,1467.0,899.0,605.0,46.0,3888.0,100,2022-01-18
Total,14400.0,33318.0,15910.0,4864.0,650.0,69141.0,100,
Coal,634.0,1236.0,523.0,592.0,9.0,2993.0,71,2022-01-19
Lignite,21.0,12.0,52.0,0.0,0.0,84.0,2,2022-01-19
Hydro,92.0,36.0,93.0,24.0,10.0,254.0,6,2022-01-19
Nuclear,28.0,21.0,60.0,0.0,0.0,109.0,3,2022-01-19
"Gas, Naptha & Diesel",15.0,10.0,9.0,0.0,27.0,61.0,2,2022-01-19
"RES (Wind, Solar, Biomass & Others)",109.0,131.0,160.0,5.0,0.0,404.0,10,2022-01-19
Total,898.0,1446.0,896.0,620.0,46.0,3906.0,100,2022-01-19
Total,13331.0,32648.0,16880.0,4576.0,650.0,68085.0,100,
Coal,606.0,1163.0,479.0,564.0,8.0,2820.0,75,2022-01-20
Lignite,20.0,12.0,47.0,0.0,0.0,80.0,2,2022-01-20
Hydro,93.0,26.0,86.0,24.0,10.0,237.0,6,2022-01-20
Nuclear,28.0,21.0,61.0,0.0,0.0,110.0,3,2022-01-20
"Gas, Naptha & Diesel",15.0,11.0,9.0,0.0,28.0,62.0,2,2022-01-20
"RES (Wind, Solar, Biomass & Others)",74.0,201.0,191.0,5.0,0.0,472.0,12,2022-01-20
Total,836.0,1434.0,874.0,593.0,45.0,3781.0,100,2022-01-20
Total,14098.0,33498.0,15980.0,4456.0,650.0,68682.0,100,
Coal,578.0,1153.0,470.0,555.0,7.0,2763.0,76,2022-01-21
Lignite,23.0,13.0,41.0,0.0,0.0,78.0,2,2022-01-21
Hydro,93.0,22.0,68.0,22.0,9.0,215.0,6,2022-01-21
Nuclear,29.0,21.0,69.0,0.0,0.0,119.0,3,2022-01-21
"RES (Wind, Solar, Biomass & Others)",91.0,89.0,205.0,4.0,0.0,389.0,1,2022-01-21
Total,829.0,1308.0,863.0,581.0,46.0,3627.0,100,2022-01-21
Total,13443.0,33401.0,16440.0,4246.0,650.0,68180.0,100,
Coal,635.0,1218.0,525.0,580.0,9.0,2967.0,77,2022-01-22
Lignite,28.0,14.0,41.0,0.0,0.0,82.0,2,2022-01-22
Hydro,96.0,36.0,99.0,23.0,9.0,263.0,7,2022-01-22
Nuclear,28.0,22.0,69.0,0.0,0.0,119.0,3,2022-01-22
"Gas, Naptha & Diesel",15.0,10.0,8.0,0.0,29.0,62.0,2,2022-01-22
"RES (Wind, Solar, Biomass & Others)",99.0,57.0,175.0,4.0,0.0,335.0,9,2022-01-22
Total,901.0,1356.0,918.0,607.0,48.0,3829.0,100,2022-01-22
Total,13103.0,34663.0,16130.0,3046.0,650.0,67592.0,100,
Coal,653.0,1217.0,533.0,592.0,9.0,3005.0,77,2022-01-23
Lignite,29.0,15.0,42.0,0.0,0.0,86.0,2,2022-01-23
Hydro,95.0,42.0,108.0,25.0,9.0,280.0,7,2022-01-23
Nuclear,28.0,21.0,70.0,0.0,0.0,119.0,3,2022-01-23
"Gas, Naptha & Diesel",15.0,9.0,8.0,0.0,29.0,61.0,2,2022-01-23
"RES (Wind, Solar, Biomass & Others)",102.0,73.0,155.0,5.0,0.0,335.0,9,2022-01-23
Total,923.0,1377.0,917.0,622.0,48.0,3886.0,100,2022-01-23
